CustomerKey,First Name,Last Name,Gender,Date of First Purchase,Customer City
21782,Blake,Martin,Male,4/28/2013,Beaverton
21900,Robert,Jones,Male,6/2/2013,Beaverton
22110,Eduardo,King,Male,12/24/2013,Beaverton
22157,Maria,Richardson,Female,10/8/2013,Beaverton
22158,Amber,Phillips,Female,6/6/2013,Beaverton
22288,Isabel,Patterson,Female,2/7/2013,Beaverton
14856,Kari,Carlson,Female,1/15/2014,Beaverton
14638,Blake,Scott,Male,12/18/2013,Beaverton
14642,Jeffery,Zeng,Male,5/26/2013,Beaverton
14519,Denise,Rana,Female,3/13/2013,Beaverton
14568,Priscilla,Kumar,Female,4/7/2013,Beaverton
14736,Jack,Roberts,Male,3/1/2013,Beaverton
14763,George,Arun,Male,8/19/2013,Beaverton
15510,Ernest,She,Male,8/22/2013,Beaverton
15519,Jennifer,Evans,Female,4/27/2013,Beaverton
15384,Xavier,Alan,Male,4/4/2013,Beaverton
15569,Morgan,Ward,Female,9/16/2012,Beaverton
15364,Aidan,Bryant,Male,4/11/2012,Beaverton
14437,Mitchell,Anand,Male,12/18/2013,Beaverton
14362,Roberto,Gill,Male,8/12/2012,Beaverton
14506,Stacy,Suarez,Female,11/13/2013,Beaverton
14509,Bridget,Deng,Female,9/29/2013,Beaverton
14336,Gabriel,Baker,Male,7/6/2012,Beaverton
14296,Benjamin,Russell,Male,5/28/2013,Beaverton
14080,Cynthia,Srini,Female,3/18/2012,Beaverton
14082,Johnny,Jai,Male,12/14/2013,Beaverton
14000,Terry,Sharma,Male,7/27/2013,Beaverton
14001,Hunter,Hill,Male,8/8/2013,Beaverton
14076,Justin,Ross,Male,5/3/2013,Beaverton
13890,Jennifer,Carter,Female,9/11/2012,Beaverton
13893,Dalton,Carter,Male,6/19/2013,Beaverton
13849,Preston,Rodriguez,Male,7/8/2012,Beaverton
13755,Luke,Roberts,Male,12/3/2013,Beaverton
13712,Nancy,Martinez,Female,5/4/2012,Beaverton
13717,Audrey,Gill,Female,5/17/2013,Beaverton
13652,Tamara,Zeng,Female,5/8/2013,Beaverton
13346,Gregory,Chande,Male,2/18/2012,Beaverton
13383,Natalie,Wright,Female,1/31/2012,Beaverton
13392,Hunter,Parker,Male,11/9/2013,Beaverton
13393,Willie,Kumar,Male,5/10/2013,Beaverton
13394,Matthew,Clark,Male,5/12/2013,Beaverton
13334,Melanie,Rivera,Female,7/31/2013,Beaverton
13211,James,Jai,Male,1/19/2014,Beaverton
13052,Jared,Morris,Male,5/5/2013,Beaverton
13146,Gabriella,Ramirez,Female,5/18/2013,Beaverton
12961,Kimberly,Murphy,Female,11/4/2013,Beaverton
12439,Megan,Bennett,Female,3/25/2013,Beaverton
12457,Misty,Rai,Female,4/4/2013,Beaverton
12180,Holly,Mehta,Female,12/10/2011,Beaverton
12204,Bradley,Jai,Male,1/28/2013,Beaverton
12531,Autumn,Xu,Female,3/18/2013,Beaverton
11879,Edgar,Sai,Male,2/27/2013,Beaverton
11985,Melanie,Hughes,Female,2/27/2013,Beaverton
12091,Eddie,Munoz,Male,2/5/2013,Beaverton
12141,Kaitlyn,Lee,Female,11/5/2011,Beaverton
12138,Colin,Jai,Male,8/28/2013,Beaverton
12160,Jaclyn,Zhang,Female,11/18/2011,Beaverton
11800,Jennifer,Baker,Female,8/10/2013,Beaverton
11801,Aaron,Sharma,Male,12/12/2013,Beaverton
11838,Justin,Rodriguez,Male,5/31/2013,Beaverton
11843,Christy,Nara,Female,2/7/2013,Beaverton
11309,Victoria,Lewis,Female,7/9/2013,Beaverton
11196,Alfredo,Romero,Male,3/3/2013,Beaverton
11204,Destiny,Rivera,Female,8/9/2013,Beaverton
11145,Jasmine,Coleman,Female,1/25/2013,Beaverton
11021,Destiny,Wilson,Female,1/23/2013,Beaverton
20129,Nicole,Stewart,Female,4/4/2013,Beaverton
20079,Alexandra,Taylor,Female,11/19/2013,Beaverton
20313,Oscar,Bennett,Male,12/2/2013,Beaverton
20184,Jessica,Richardson,Female,4/26/2013,Beaverton
20203,Roy,Blanco,Male,9/22/2013,Beaverton
20205,Bryce,Cox,Male,6/12/2013,Beaverton
19816,Lucas,Brown,Male,9/11/2013,Beaverton
19635,Dawn,Shan,Female,11/26/2013,Beaverton
19636,Jessica,Lee,Female,9/2/2013,Beaverton
19720,Kaitlyn,Phillips,Female,8/7/2013,Beaverton
19528,Bailey,Hall,Female,8/9/2013,Beaverton
19168,Nathan,Kumar,Male,2/3/2013,Beaverton
19227,Logan,Nelson,Male,3/13/2013,Beaverton
19396,Tammy,Prasad,Female,2/27/2013,Beaverton
19107,Franklin,Liu,Male,5/10/2013,Beaverton
19148,Cody,Ramirez,Male,12/14/2013,Beaverton
19152,Jonathan,Walker,Male,4/7/2013,Beaverton
18880,Jarrod,Sanchez,Male,10/14/2013,Beaverton
18910,Marco,Perez,Male,11/11/2013,Beaverton
18941,Philip,Torres,Male,12/25/2013,Beaverton
18977,Jackson,Wang,Male,12/6/2013,Beaverton
19006,Leslie,Martin,Female,12/19/2013,Beaverton
18870,Ana,Barnes,Female,1/21/2014,Beaverton
18843,Luis,Perez,Male,11/20/2013,Beaverton
18809,Jason,King,Male,4/1/2013,Beaverton
18805,Tracy,Simpson,Female,1/27/2014,Beaverton
18822,Gregory,Ferrier,Male,8/10/2013,Beaverton
18827,Carmen,Raman,Female,12/27/2013,Beaverton
18579,William,Brown,Male,10/28/2013,Beaverton
18414,Gabrielle,Griffin,Female,10/7/2013,Beaverton
18373,Stephanie,Roberts,Female,10/13/2013,Beaverton
17339,Ian,Hayes,Male,4/10/2013,Beaverton
17340,Joy,Hernandez,Female,11/10/2013,Beaverton
17383,Craig,Ortega,Male,9/17/2013,Beaverton
17273,Jonathon,Torres,Male,12/10/2013,Beaverton
17136,Glenn,Ye,Male,11/6/2013,Beaverton
17166,Joshua,Several,Male,10/26/2013,Beaverton
16863,Kaitlyn,Clark,Female,3/5/2013,Beaverton
16993,Russell,Rai,Male,6/25/2013,Beaverton
17019,Andrea,Hall,Female,11/30/2013,Beaverton
17429,Wyatt,Carter,Male,11/30/2013,Beaverton
17528,Whitney,Kapoor,Female,11/7/2013,Beaverton
17540,Gloria,Gutierrez,Female,2/6/2013,Beaverton
17553,Summer,Sanchez,Female,11/22/2013,Beaverton
17554,Emma,Harris,Female,2/15/2013,Beaverton
17556,Emily,Powell,Female,4/5/2013,Beaverton
17569,Mya,Price,Female,2/26/2013,Beaverton
17603,Anna,Patterson,Female,9/22/2013,Beaverton
17677,Lawrence,Hernandez,Male,7/31/2013,Beaverton
17685,Diana,Torres,Female,2/1/2013,Beaverton
16105,Kristy,Diaz,Female,9/29/2013,Beaverton
16134,Roy,Hernandez,Male,4/26/2013,Beaverton
16135,Chelsea,Raman,Female,11/4/2013,Beaverton
16072,Caleb,Evans,Male,10/12/2013,Beaverton
16088,Bryce,Sanders,Male,5/21/2013,Beaverton
16013,Xavier,Williams,Male,2/17/2013,Beaverton
15935,Amber,King,Female,4/18/2013,Beaverton
15817,Chloe,Alexander,Female,5/13/2013,Beaverton
15882,Maurice,Xie,Male,9/28/2012,Beaverton
15740,Johnny,Kumar,Male,9/18/2013,Beaverton
15759,Erin,Brooks,Female,3/21/2013,Beaverton
16367,Emily,Williams,Female,10/28/2013,Beaverton
12435,Christy,Zhou,Female,12/4/2011,Bell Gardens
26127,Terry,Chander,Male,1/6/2012,Bellevue
26089,Terry,Rai,Male,11/10/2011,Bellflower
26090,Mathew,Moreno,Male,11/2/2011,Bellflower
26070,Elijah,Patterson,Male,11/20/2011,Bellflower
26046,Kara,Kumar,Female,10/4/2013,Bellflower
26056,Karen,Zeng,Female,11/4/2011,Bellflower
25987,Hunter,Kumar,Male,8/10/2011,Bellflower
25840,Karla,Pal,Female,7/14/2013,Bellflower
25419,Hunter,King,Male,6/24/2013,Bellflower
25390,Samantha,Powell,Female,5/5/2013,Bellflower
25042,Arif,Rizaldy,Female,12/21/2013,Bellflower
25165,Ashley,Brown,Female,12/16/2013,Bellflower
25203,Caroline,Wood,Female,3/13/2013,Bellflower
25264,Wyatt,Bryant,Male,10/22/2013,Bellflower
26300,Audrey,Ortega,Female,2/9/2012,Bellflower
26303,Devon,Pal,Male,2/24/2012,Bellflower
26334,Ross,Blanco,Male,9/28/2013,Bellflower
26183,Allen,Arthur,Male,1/24/2012,Bellflower
26484,Fernando,Patterson,Male,4/28/2012,Bellflower
26499,Renee,Ruiz,Female,5/17/2012,Bellflower
26538,Warren,Black,Male,5/19/2012,Bellflower
26641,Arturo,Xie,Male,6/5/2012,Bellflower
26736,Lacey,Xu,Female,2/15/2013,Bellflower
27054,Shawn,Sharma,Male,7/31/2012,Bellflower
27104,Randy,Zhu,Male,9/5/2012,Bellflower
27392,Felicia,Romero,Female,1/27/2014,Bellflower
27438,Alejandro,Shan,Male,5/21/2013,Bellflower
27462,Xavier,Rodriguez,Male,11/5/2013,Bellflower
27533,Allison,Perez,Female,4/16/2013,Bellflower
27476,Alexis,Alexander,Female,11/24/2013,Bellflower
28038,Philip,Gomez,Male,2/1/2011,Bellflower
28059,Bradley,Shen,Male,7/23/2013,Bellflower
28083,Kaitlyn,Foster,Female,2/12/2011,Bellflower
28086,Bridget,Anand,Female,4/8/2013,Bellflower
28087,Maria,Simmons,Female,5/29/2013,Bellflower
28088,Marshall,Lal,Male,3/6/2011,Bellflower
28147,Omar,Black,Male,3/30/2011,Bellflower
28234,Jack,Nelson,Male,4/10/2011,Bellflower
28250,Tyrone,Dominguez,Male,4/9/2011,Bellflower
29112,Edward,Powell,Male,5/11/2013,Bellflower
29136,Caroline,Bryant,Female,6/10/2011,Bellflower
29243,Jared,Torres,Male,10/25/2013,Bellflower
29272,Alex,King,Male,8/26/2013,Bellflower
29273,Timothy,Lopez,Male,8/26/2013,Bellflower
28983,Sean,Lopez,Male,8/11/2013,Bellflower
28967,Jessica,Morris,Female,2/20/2013,Bellflower
29057,Latoya,Andersen,Female,6/18/2013,Bellflower
29050,Jack,Russell,Male,12/10/2013,Bellflower
28844,Emma,Rivera,Female,6/26/2011,Bellflower
28580,Aimee,Liu,Female,4/20/2011,Bellflower
28629,Cynthia,Madan,Female,5/11/2011,Bellflower
28635,Levi,Gonzalez,Male,5/17/2011,Bellflower
22289,Thomas,Long,Male,2/6/2013,Bellflower
22075,Pedro,Patel,Male,9/27/2013,Bellflower
22052,Zachary,Butler,Male,2/9/2013,Bellflower
21766,Jesse,Baker,Male,3/10/2013,Bellflower
21767,Mariah,Ramirez,Female,8/3/2013,Bellflower
21587,Jenna,Roberts,Female,10/28/2013,Bellflower
20768,Marshall,Nara,Male,9/19/2013,Bellflower
20744,Amanda,Barnes,Female,12/6/2013,Bellflower
20751,Jermaine,Arthur,Male,12/13/2013,Bellflower
20700,Marcus,Scott,Male,8/4/2013,Bellflower
20685,Mariah,Powell,Female,8/27/2013,Bellflower
20421,Victoria,Alexander,Female,5/9/2013,Bellflower
20359,Rachel,Blue,Female,6/7/2013,Bellflower
20351,Maria,Gonzalez,Female,9/20/2013,Bellflower
20324,Ashley,Rodriguez,Female,3/29/2013,Bellflower
20334,Jeremiah,Mitchell,Male,2/13/2013,Bellflower
20379,Brittney,Chen,Female,8/5/2013,Bellflower
20525,James,Kumar,Male,7/10/2013,Bellflower
21235,Stephanie,Hernandez,Female,9/17/2013,Bellflower
21151,Aaron,Campbell,Male,9/10/2013,Bellflower
21163,William,Williams,Male,1/28/2014,Bellflower
22778,Monique,Dominguez,Female,4/24/2013,Bellflower
22873,Robert,Williams,Male,7/21/2013,Bellflower
23066,Austin,Lal,Male,5/3/2013,Bellflower
23075,Rebekah,Sandberg,Female,5/5/2013,Bellflower
23021,Stefanie,Mehta,Female,8/14/2013,Bellflower
22980,Oscar,Washington,Male,2/5/2013,Bellflower
23190,Nathaniel,Ramirez,Male,11/26/2013,Bellflower
23799,Carolyn,Chandra,Female,12/12/2013,Bellflower
23683,Dana,Alonso,Female,10/1/2013,Bellflower
23256,Mario,Chande,Male,9/20/2013,Bellflower
23276,Vincent,Zhou,Male,7/11/2013,Bellflower
23295,Jaime,Torres,Female,9/13/2013,Bellflower
23296,Molly,Mehta,Female,8/22/2013,Bellflower
23326,Tiffany,Ye,Female,8/18/2013,Bellflower
23354,Eddie,Gomez,Male,2/28/2013,Bellflower
23398,Karl,Chander,Male,9/18/2013,Bellflower
23405,Kari,Madan,Female,3/20/2013,Bellflower
24447,Cody,Morgan,Male,3/5/2013,Bellflower
24401,Douglas,Rana,Male,7/30/2013,Bellflower
24956,Ariana,Ward,Female,7/7/2013,Bellflower
24387,Elijah,Mitchell,Male,12/25/2013,Bellflower
23823,Samuel,Davis,Male,5/18/2013,Bellflower
12416,Veronica,Martinez,Female,6/29/2013,Bellflower
12209,Mindy,Jai,Female,12/17/2011,Bellflower
12947,Isaiah,Sanchez,Male,12/30/2011,Bellflower
12927,Savannah,Sanchez,Female,4/27/2013,Bellflower
12786,James,Yang,Male,11/11/2013,Bellflower
12887,Brendan,Pal,Male,10/20/2013,Bellflower
13068,Alexandria,Morris,Female,1/9/2012,Bellflower
13316,Angel,Rivera,Male,2/24/2012,Bellflower
11023,Seth,Edwards,Male,2/17/2013,Bellflower
11825,Aimee,She,Female,10/16/2011,Bellflower
11628,Mariah,Wood,Female,9/12/2011,Bellflower
11654,Ariana,Sanchez,Female,10/18/2011,Bellflower
12118,Miguel,Sanchez,Female,11/4/2011,Bellflower
12029,Damien,Hu,Male,8/2/2013,Bellflower
11983,Cheryl,Ortega,Female,11/8/2011,Bellflower
11962,Alexandra,Roberts,Female,8/11/2013,Bellflower
13380,Katherine,Scott,Female,2/1/2012,Bellflower
13362,Destiny,Morgan,Female,2/4/2012,Bellflower
13364,Natalie,Anderson,Female,5/15/2013,Bellflower
13433,Jessie,Vazquez,Female,3/18/2012,Bellflower
13426,Taylor,Williams,Female,3/5/2012,Bellflower
13463,Tammy,Sara,Female,11/13/2013,Bellflower
13470,Jaclyn,Jai,Female,12/20/2013,Bellflower
13484,Marcus,Martinez,Male,5/12/2012,Bellflower
13656,Faith,Howard,Female,7/14/2013,Bellflower
13728,Taylor,Stewart,Female,6/25/2012,Bellflower
13737,Garrett,Sanders,Male,7/1/2013,Bellflower
13879,Derrick,Hernandez,Male,9/8/2013,Bellflower
13862,Andrew,Walker,Male,7/23/2012,Bellflower
13927,Gabriel,Gonzales,Male,11/19/2012,Bellflower
13938,Alejandro,Cai,Male,11/27/2012,Bellflower
14297,Kristin,Raji,Female,7/16/2012,Bellflower
14339,Brandy,Suri,Female,2/12/2013,Bellflower
14248,Misty,Tang,Female,9/24/2013,Bellflower
14254,Tabitha,Gill,Female,7/2/2013,Bellflower
14440,Jon,Tang,Male,10/30/2012,Bellflower
14441,William,Lewis,Male,4/23/2013,Bellflower
14403,Angelica,Russell,Female,12/13/2013,Bellflower
15347,Deanna,Alonso,Female,4/20/2012,Bellflower
15521,Kathryn,Deng,Female,8/3/2012,Bellflower
14729,Gloria,Rubio,Female,7/13/2013,Bellflower
14730,Jerry,Ferrier,Male,8/26/2011,Bellflower
14571,Rachel,Richardson,Female,8/21/2013,Bellflower
14560,Kelvin,Huang,Male,1/5/2011,Bellflower
14870,Brandi,Ortega,Female,1/28/2013,Bellflower
14902,Arianna,Diaz,Female,11/13/2011,Bellflower
16335,Kristen,Lu,Female,9/23/2013,Bellflower
16787,Nicole,Jackson,Female,11/25/2013,Bellflower
15750,Kaitlin,Martinez,Female,9/8/2012,Bellflower
15946,Wyatt,Wilson,Male,4/22/2013,Bellflower
15953,Julio,Moreno,Male,12/5/2012,Bellflower
15954,Marshall,Deng,Male,12/16/2012,Bellflower
16081,Arturo,Cai,Male,10/26/2013,Bellflower
16086,Charles,Watson,Male,10/28/2013,Bellflower
16230,Craig,Blanco,Male,12/18/2013,Bellflower
16244,Gregory,Kumar,Male,10/14/2013,Bellflower
17684,Leslie,Gomez,Female,11/17/2013,Bellflower
17678,Julio,Blanco,Male,9/1/2013,Bellflower
17676,Eugene,Yang,Male,6/1/2013,Bellflower
17605,Jon,Ma,Male,4/18/2013,Bellflower
17559,Kari,Suarez,Female,7/9/2013,Bellflower
17561,Samantha,White,Female,7/23/2013,Bellflower
17547,Alejandro,Yuan,Male,7/13/2013,Bellflower
17445,Natasha,Hernandez,Female,6/8/2013,Bellflower
17470,Jaime,Carlson,Female,11/15/2013,Bellflower
17868,Richard,Blue,Male,9/17/2013,Bellflower
16892,Rebecca,Evans,Female,10/25/2013,Bellflower
16851,Kevin,Hayes,Male,10/23/2013,Bellflower
16973,Katherine,Collins,Female,4/16/2013,Bellflower
17122,Gabrielle,Gonzalez,Female,4/5/2013,Bellflower
17262,Kristy,Martin,Female,5/30/2013,Bellflower
17335,Miguel,Gonzales,Male,4/23/2013,Bellflower
18409,Olivia,Washington,Female,9/29/2013,Bellflower
18339,Donna,Nath,Female,10/13/2013,Bellflower
18478,Eduardo,Roberts,Male,12/7/2013,Bellflower
18514,Anne,Romero,Female,12/7/2013,Bellflower
18519,Alex,Cook,Male,12/7/2013,Bellflower
18094,Roy,Alonso,Male,2/19/2013,Bellflower
18106,Carson,Alexander,Male,4/21/2013,Bellflower
18230,Brianna,Perry,Female,11/22/2013,Bellflower
18585,Katherine,Blue,Female,10/27/2013,Bellflower
18680,David,Shan,Male,11/3/2013,Bellflower
18830,Kristine,Ortega,Female,11/17/2013,Bellflower
18831,Andy,Hernandez,Male,12/26/2013,Bellflower
18823,Russell,Xu,Male,6/6/2013,Bellflower
18786,Dustin,Chande,Male,4/3/2013,Bellflower
18995,Melissa,Gray,Female,10/24/2013,Bellflower
18953,Mya,Patterson,Female,9/15/2013,Bellflower
18942,Billy,Ortega,Male,7/15/2013,Bellflower
18891,Megan,James,Female,12/31/2013,Bellflower
19144,Edwin,He,Male,5/21/2013,Bellflower
19216,Gabriel,Lopez,Male,4/29/2013,Bellflower
19240,Theresa,Jimenez,Female,1/21/2013,Bellflower
19732,Kyle,Hill,Male,5/2/2013,Bellflower
19849,Jorge,Wu,Male,4/23/2013,Bellflower
19983,Michael,Martinez,Male,4/22/2013,Bellflower
20012,Jessica,Robinson,Female,12/8/2013,Bellflower
20320,Mindy,Nath,Female,6/7/2013,Bellflower
20305,Caleb,Ross,Male,10/6/2013,Bellflower
20286,Stacey,Wu,Female,4/24/2013,Bellflower
20301,Gloria,Bradley,Female,5/23/2013,Bellingham
20272,Seth,James,Male,9/24/2013,Bellingham
19885,Isaac,Turner,Male,12/29/2013,Bellingham
19894,Elijah,Sharma,Male,5/30/2013,Bellingham
19824,Jordan,Perry,Male,9/7/2013,Bellingham
19738,Henry,Martinez,Male,7/31/2013,Bellingham
19742,Alexia,Russell,Female,10/21/2013,Bellingham
19743,Holly,Rana,Female,4/10/2013,Bellingham
19637,Eduardo,Long,Male,8/23/2013,Bellingham
19236,Chloe,Phillips,Female,12/19/2013,Bellingham
19412,Jaime,Chander,Male,5/19/2013,Bellingham
19131,Mason,Blue,Male,12/12/2013,Bellingham
18933,Kelli,Huang,Female,8/9/2013,Bellingham
18923,Cassandra,Kapoor,Female,3/27/2013,Bellingham
18990,Amanda,Henderson,Female,2/13/2013,Bellingham
18757,Frederick,Srini,Male,2/8/2013,Bellingham
